"decade","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","<NA>"
1950,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1
1960,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
1970,11,3,2,4,1,3,1,1,0,0,1,0,0,1,0,0,5
1980,12,6,6,4,3,0,1,0,0,3,7,0,0,0,2,1,12
1990,21,16,5,7,2,5,1,0,1,5,6,1,0,1,1,0,12
2000,27,24,6,12,4,9,1,5,2,0,1,1,3,0,2,0,14
2010,53,53,23,34,10,10,7,4,6,2,13,3,4,0,4,0,29
2020,21,17,12,12,8,14,2,3,2,1,9,0,3,0,4,0,21
NA,33,8,7,6,3,11,2,1,0,0,4,0,2,0,0,1,84
